en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,disease,病気,a rare genetic neurodevelopmental disorder,,Q403453
caudal regression syndrome,尾部退行症候群,disease,病気,congenital disorder in humans caused by abnormal fetal development of the lower spine,,Q1129947
atrioventricular septal defect,心内膜床欠損症,disease,病気,Human disease,,Q390211
interstitial lung disease,間質性肺炎,disease,病気,group of lung diseases affecting the interstitium (the tissue and space around the air sacs of the lungs),肺にある間質組織の線維化が起こる疾患,Q1153419
pancreatitis,膵炎,disease,病気,inflammation of the pancreas,膵臓が炎症を起こした状態の総称,Q1527888
hereditary hemorrhagic telangiectasia,ランデュー・オスラー・ウェーバー症候群,disease,病気,genetic disorder involving capillaries,血管奇形を起こす遺伝性疾患。遺伝性出血性毛細血管拡張症あるいは遺伝性出血性末梢血管拡張症。,Q776881
inclusion-cell disease,アイセル病,disease,病気,Human disease,,Q1516888
retinoblastoma,網膜芽細胞腫,disease,病気,retinal cell cancer,,Q500695
neurogenic arthrogryposis multiplex congenita,関節拘縮,disease,病気,congenital joint contracture in two or more areas of the body,,Q708165
Muckle-Wells syndrome,マックル・ウェルズ症候群,disease,病気,Human disease,,Q1538218
maple syrup urine disease,メープルシロップ尿症,disease,病気,human disease,,Q402575
Ewing sarcoma,ユーイング肉腫,disease,病気,"bone cancer that has material basis in neural crest cells derives from undeveloped, undifferentiated neuroectoderm",小円形細胞の増殖によりなる悪性腫瘍,Q1138580
Lesch-Nyhan syndrome,レッシュ・ナイハン症候群,disease,病気,rare genetic syndrome,,Q727436
trisomy 16,16トリソミー,disease,病気,partial or complete triplication of chromosome 16,,Q503642
mitral valve prolapse,僧帽弁逸脱症,disease,病気,mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole,,Q735652
Parkinson's disease,パーキンソン病,disease,病気,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,Q11085
Costello syndrome,コステロ症候群,disease,病気,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays",,Q1136492
Crohn's disease,クローン病,disease,病気,type of inflammatory bowel disease,主として口腔から肛門までの全消化管に、非連続性の慢性肉芽腫性炎症を生じる原因不明の炎症性疾患,Q1472
ataxia telangiectasia,毛細血管拡張性運動失調症,disease,病気,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,Q387082
McCune–Albright syndrome,マッキューン・オルブライト症候群,disease,病気,rare disease,,Q727008
Coffin-Lowry syndrome,コフィン・ローリー症候群,disease,病気,genetic disorder that is X-linked dominant,,Q1106881
autoimmune lymphoproliferative syndrome,自己免疫性リンパ増殖症候群,disease,病気,Human disease,,Q1151300
mucopolysaccharidosis II,ムコ多糖症II型,disease,病気,mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme iduronate sulfatase,,Q1529983
cardiofaciocutaneous syndrome,CFC症候群,disease,病気,Human disease,,Q1097490
Kabuki syndrome,歌舞伎症候群,disease,病気,rare disease,常染色体優性遺伝の遺伝疾患,Q1538227
congenital insensitivity to pain with anhidrosis,先天性無痛無汗症,disease,病気,rare disease,,Q501694
systemic lupus erythematosus,全身性エリテマトーデス,disease,病気,"inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.",膠原病の一つ,Q1485
Cohen syndrome,コーエン症候群,disease,病気,"a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,Q1107087
Joubert syndrome,ジュベール症候群,disease,病気,"Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones",,Q1101694
Craniopagus parasiticus,寄生的頭蓋結合体,disease,病気,rare type of Craniopagus,,Q1483
CINCA syndrome,新生児期発症多臓器系炎症性疾患,disease,病気,"Chronic Infantile Neurological, Cutaneous, and Articular (CINCA) syndrome is characterised by skin rash, joint involvement, chronic meningitis with granulocytes and, in some cases, sensorineural hearing loss and ocular signs",,Q779203
cleidocranial dysplasia,鎖骨・頭蓋異形成症,disease,病気,osteochondrodysplasia that has material basis in mutations in the RUNX2 gene which results in undeveloped or absent located in clavicle along with delayed closing of fontanels in the located in skull,,Q781618
Waardenburg's syndrome,ワールデンブルグ症候群,disease,病気,genetic condition involving hearing loss and depigmentation,,Q1151801
cystinosis,シスチノーシス,disease,病気,lysosomal storage disease characterized by the abnormal accumulation of cystine in lysosomes,,Q1149042
idiopathic CD4+ lymphocytopenia,特発性CD4+リンパ球減少症,disease,病気,rare disease,,Q1087632
Alagille syndrome,アラジール症候群,disease,病気,congenital disorder of digestive system,,Q1544408
lissencephaly,滑脳症,disease,病気,brain disorder that prevents growth of brain folds,,Q1544416
molybdenum cofactor deficiency,モリブデン補因子欠損症,disease,病気,metal metabolism disease characterized by encephalopathy that worsens over time resulting from the absence of molybdenum cofactor which leads to accumulation of toxic levels of sulphite and neurological damage,,Q1621463
encephalopathy due to GLUT1 deficiency,De Vivo病,disease,病気,disease,,Q1485893
Rothmund-Thomson syndrome,ロスムンド・トムソン症候群,disease,病気,human disease,,Q1583485
hyper IgM syndrome,高IgM症候群,disease,病気,primary immune deficiency disorders characterized by defective CD40 signaling,,Q1617658
Noonan syndrome,ヌーナン症候群,disease,病気,"congenital, genetically widespread disease considered to be a type of dwarfism affecting boys and girls equally",,Q1543446
malignant hyperthermia,悪性高熱症,disease,病気,"genetic disease that is characterized by a drastic and uncontrolled increase in skeletal muscle oxidative metabolism, which overwhelms the body's capacity to supply oxygen, remove carbon dioxide, and regulate body temperature",全身麻酔の併発症のひとつ,Q1585081
protein C deficiency,プロテインC欠乏症,disease,病気,rare genetic trait that predisposes to thrombotic disease,,Q1504570
Peutz-Jeghers syndrome,ポイツ・ジェガーズ症候群,disease,病気,autosomal dominant genetic disorder characterized by the development of benign hamartomatous polyps in the gastrointestinal tract and hyperpigmented macules on the lips and oral mucosa (melanosis),大腸に100個以上のポリープが発生する常染色体優性遺伝疾患,Q1544989
Wolfram syndrome,ウォルフラム症候群,disease,病気,"rare disease in which a human simultaneously has diabetes insipidus, diabetes, optic nerve atrophy and deafness syndrome",,Q1153641
Werner syndrome,ウェルナー症候群,disease,病気,Lethal autosomal recessive disorder,,Q1154619
paramyotonia congenita,先天性パラミオトニア,disease,病気,human disease,,Q493103
sirenomelia,シレノメリア,disease,病気,disease,,Q795024
sucrose intolerance,ショ糖不耐症,disease,病気,Congenital sucrase-isomaltase deficiency (CSID) is a carbohydrate intolerance disorder characterised by malabsorption of oligosaccharides and disaccharides,,Q498826
clubfoot,先天性内反足,disease,病気,bone development disease,,Q1162164
FG syndrome,FG症候群,disease,病気,disease,,Q530142
mismatch repair cancer syndrome,ターコット症候群,disease,病気,genetic disease,,Q736633
Pitt-Hopkins syndrome,ピット＝ホプキンズ症候群,disease,病気,"rare genetic disorder characterized by developmental delay, epilepsy, distinctive facial features, and possible intermittent hyperventilation followed by apnea",発達遅延、顔面形態異常、呼吸異常の合併を特徴とする遺伝子疾患,Q1164401
asplenia,無脾症,disease,病気,congenital disorder,,Q737712
achromatopsia,杆体1色覚,disease,病気,"human illness, a type of color blindness",,Q432396
Wilson disease,肝レンズ核変性症,disease,病気,multisystem disease due to abnormal accumulation of copper,先天性銅代謝異常によって無機銅が代謝されずに蓄積し、大脳のレンズ核の変性と共に肝硬変・角膜輪等を生ずる疾患,Q117121
acute intermittent porphyria,急性間欠性ポルフィリン症,disease,病気,human disease,,Q424247
Kashin–Beck disease,カシン＝ベック病,disease,病気,"chronic, endemic osteochondropathy",,Q500314
Bartter disease,バーター症候群,disease,病気,Human disease,,Q790971
Simpson-Golabi-Behmel syndrome,シンプソン・ゴラビ・ベーメル症候群,disease,病気,"X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities",,Q478891
lung cancer,肺癌,disease,病気,cancer in the lung,肺に発生する上皮細胞由来の悪性腫瘍,Q47912
paroxysmal nocturnal hemoglobinuria,発作性夜間血色素尿症,disease,病気,"disease of the blood characterized by destruction of red blood cells by the complement system, a part of the body's innate immune system",,Q1479494
dermatofibrosarcoma protuberans,隆起性皮膚線維肉腫,disease,病気,fibrosarcoma that is located in the dermis layer of the skin,,Q1200239
ventricular septal defect,心室中隔欠損,disease,病気,"heart septal defect characterized by an opening in the interventricular septum, causing a shunt between ventricles",,Q838139
neurofibromatoses,神経線維腫症,disease,病気,human diseases,,Q847605
von Hippel-Lindau disease,フォン・ヒッペル・リンドウ病,disease,病気,a rare genetic disorder characterized by visceral cysts and benign tumors in multiple organ systems with potential for subsequent malignant change.,,Q741315
Denys-Drash syndrome,デニス・ドラッシュ症候群,disease,病気,Human disease,,Q774016
microcephaly,小頭症,disease,病気,medical condition in which the brain does not develop properly resulting in a smaller than normal head,,Q431643
Treacher Collins syndrome,トリーチャーコリンズ症候群,disease,病気,human genetic disorder,頬骨の欠如等の顎顔面形態の不調和を特徴とする、常染色体優位先天性疾患のひとつ,Q744790
galactosemia,ガラクトース血症,disease,病気,carbohydrate metabolic disorder that involves a defect in galactose metabolism resulting in toxic levels of galactose 1-phosphate in various tissues,,Q774483
short QT syndrome,QT短縮症候群,disease,病気,"heart conduction disease that is characterized by heart arrhythmia defined as a short QT interval on an EKG (less than 300 ms) that does not significantly change with heart rate, tall and peaked T waves, and a structurally normal heart",,Q1484058
Angelman syndrome,アンジェルマン症候群,disease,病気,genetic condition in humans,,Q535364
glycogen storage disease V,マッカードル病,disease,病気,Human disease,,Q787751
aortic valve stenosis,大動脈弁狭窄症,disease,病気,aortic valve disease that has physical basis in incomplete opening of the aortic valve,,Q531019
Fanconi syndrome,ファンコーニ症候群,disease,病気,"renal tubular transport disease of the proximal renal tubes characterized by glucosuria, phosphaturia, generalized aminoaciduria and HCO3 wasting",,Q1179460
aplastic anemia,再生不良性貧血,disease,病気,"anemia that is characterized by a deficiency of red blood cells, white blood cells and platelets produced by bone marrow",,Q846316
